Time,E_EW (V/km),E_NS (V/km)
0,0,0
10,0.019191195,0.03838239
20,0.015247312,0.049685819
30,0.028359938,0.014393602
40,0.021639535,-0.031676512
50,0.014004495,0.014782752
60,0.010274297,0.018364815
70,0.027342453,-0.008077488
80,0.002750369,0.012080257
90,0.018918824,0.012571255
100,0.017602887,0.00825137
110,0.031417394,0.006346584
120,0.005709666,0.024443368
130,0.002027305,0.000607337
140,0.004303021,0.017177669
150,0.004792073,-0.003014473
160,0.004844079,0.034232486
170,0.004738585,0.010761962
180,0.004575293,-0.015289412
190,0.004394145,-0.010177896
200,0.004212078,0.015063332
210,0.023227485,0.013687579
220,0.019116914,0.028173955
230,0.012881542,0.022161258
240,0.029207482,0.034165538
250,0.02355725,-0.011792925
260,0.016377111,-0.012029828
270,0.012845591,0.015313342
280,0.01073679,0.01446123
290,0.028548266,0.009869891
300,-0.014804536,0.027114717
310,0.005546598,0.002762788
320,0.010428807,-0.000117098
330,-0.011367786,0.02192484
340,-0.008413981,0.037992477
350,0.016329262,0.009053829
360,0.01473328,0.023397217
370,0.009867043,0.021165786
380,0.007765144,0.015275205
390,0.006594751,0.012377419
400,0.005863141,0.010609088
410,0.005362972,0.028672075
420,0.004994977,0.043052776
430,0.004707354,0.013169348
440,0.004471335,0.026921359
450,0.004270167,-0.014152317
460,0.004093693,0.006815596
470,0.023126724,-0.007333984
480,0.019038825,0.032581689
490,-0.006363619,0.010587744
500,0.013871627,0.042893555
510,0.014334467,0.03661994
520,0.00997023,0.005512525
530,-0.011168381,0.02304862
540,-0.027606906,0.02192573
550,-0.018308469,-0.002654276
560,-0.009953753,0.03707126
570,-0.006002498,0.033592738
580,-0.003796671,0.003802033
590,-0.002470352,0.022156021
600,-0.001628177,0.00222035
610,0.018180306,0.020285332
620,-0.004639762,0.000674794
630,-0.006506339,0.019011613
640,-0.002992826,-0.019587515
650,-0.001617603,0.022034206
660,-0.000896676,0.024123324
670,-0.000476036,-0.003059808
680,-0.000211558,-0.002441535
690,-3.54717E-05,0.001789516
700,-0.019103882,0.003398662
710,-0.034320559,0.023398506
720,-0.024219566,0.019798001
730,-0.015294893,0.013855091
740,-0.010913377,0.030364621
750,-0.008366529,0.044022118
760,-0.006759231,0.013781277
770,-0.044060762,-0.01108745
780,-0.035406395,-0.005909639
790,-0.00348872,-0.019205702
800,-0.001439531,-0.012823073
810,-0.004053302,-0.005554821
820,0.014558215,-0.021377482
830,0.010551512,-0.015589972
840,0.023844239,0.010755489
850,0.017299709,0.010242232
860,0.009853083,0.025378524
870,-0.032119992,-0.018581057
880,-0.007017585,0.020896815
890,-0.019180792,-0.016468641
900,0.002668869,-0.016989841
910,0.004632739,-0.00837211
920,0.020579998,0.01443656
930,-0.003800295,0.012434368
940,-0.025678901,0.007497977
950,-0.018693851,0.00543825
960,-0.011527287,-0.014836058
970,-0.008210572,0.026921099
980,-0.025540465,0.005458737
990,-0.020452843,-0.019436551
1000,-0.013620337,-0.032776321
1010,-0.010316419,0.01611152
1020,-0.008371326,-0.001945014
1030,0.012073228,-0.005776544
1040,-0.010196683,0.035698378
1050,0.00749183,0.029016695
